고유번호,기준연도,행정동코드,행정동명,2007년사용량,2008년사용량,경도,위도
3,2008,1103058,효창동,20.814328,21.459975,126.960713,37.5436889
6,2008,1101071,숭인2동,72.809621,74.027617,127.0195273,37.5749267
8,2008,1102052,소공동,423.513379,424.742285,126.9746802,37.5644921
9,2008,1105062,구의3동,133.85004,131.664698,127.0961417,37.5357391
103,2008,1111059,하계2동,36.930365,37.577989,127.0646016,37.6351662
7,2008,1102064,신당4동,47.600798,50.101068,127.015277,37.5566297
5,2008,1103063,이촌1동,78.776724,79.079995,126.9702107,37.5175452
10,2008,1109074,우이동,51.867977,52.548616,126.9989986,37.6619306
11,2008,1110064,도봉1동,67.514091,68.453704,127.0270249,37.6852966
12,2008,1111056,공릉2동,158.930946,165.70109,127.0918584,37.6314108
52,2008,1103064,이촌2동,14.357689,14.903593,126.9540649,37.5234571
76,2008,1104069,송정동,30.943266,32.125956,127.0629577,37.5537764
30,2008,1102065,신당5동,47.925399,47.40491,127.0213994,37.5631643
42,2008,1102067,황학동,42.297118,58.622007,127.0205839,37.5685588
59,2008,1101069,창신3동,8.222036,8.429381,127.012994,37.578808
46,2008,1106055,제기2동,66.566597,68.032889,127.03405,37.5840262
36,2008,1102061,신당1동,138.943036,141.375368,127.0137367,37.5652698
16,2008,1105055,중곡1동,54.058886,56.213926,127.0777479,37.5619104
75,2008,1104067,성수2가1동,279.103617,283.908848,127.0559597,37.536291
82,2008,1105057,중곡3동,59.370258,60.993713,127.0814009,37.5676251
94,2008,1104065,성수1가1동,76.999513,79.713514,127.0401648,37.5401785
86,2008,1105064,자양1동,73.475634,75.229009,127.0802498,37.5367375
67,2008,1104055,사근동,127.814392,130.853505,127.045359,37.5589836
175,2008,1111064,중계4동,55.017622,55.748652,127.0841682,37.6585831
81,2008,1105056,중곡2동,59.295937,61.006111,127.0840946,37.5587623
87,2008,1105065,자양2동,125.883364,107.271437,127.0824325,37.5307539
95,2008,1105053,화양동,227.072383,233.254717,127.0731746,37.5435197
1,2008,1101061,종로1.2.3.4가동,548.405825,532.941004,126.9892737,37.5777701
2,2008,1103053,남영동,68.387725,70.090861,126.9740814,37.5445003
4,2008,1103059,용문동,27.390041,27.499656,126.9584408,37.5381216
13,2008,1112071,진관동,31.593648,43.847016,126.9387277,37.64193
14,2008,1104054,마장동,118.720747,120.317887,127.0402895,37.5674822
15,2008,1104068,성수2가3동,341.422746,345.387186,127.0585584,37.5455156
18,2008,1105067,자양4동,75.390598,76.424413,127.0636013,37.5338801
27,2008,1102059,광희동,272.237698,277.488578,127.0029274,37.5655997
51,2008,1103065,이태원1동,57.70097,62.897505,126.9929244,37.5335249
53,2008,1101057,무악동,13.391452,17.382672,126.9582782,37.5773293
54,2008,1101067,창신1동,64.862695,66.788854,127.0142162,37.5732983
55,2008,1102060,을지로동,190.208793,193.13236,126.997044,37.5662578
56,2008,1101063,종로5.6가동,118.089101,117.888269,127.0041223,37.5731912
57,2008,1101066,명륜3가동,30.193061,30.74984,126.9932166,37.5872766
60,2008,1101070,숭인1동,18.183449,19.178458,127.0169173,37.5775773
61,2008,1101072,청운효자동,83.936864,86.757146,126.9690467,37.5847576
35,2008,1101064,이화동,98.902725,99.271226,127.0026466,37.5801301
37,2008,1103066,이태원2동,48.582405,49.415499,126.9923385,37.5416696
38,2008,1103070,보광동,40.954374,42.4055,127.0014156,37.525308
17,2008,1105063,광장동,97.806562,100.429444,127.103556,37.5475025
47,2008,1103069,서빙고동,171.7342,175.449812,126.9914626,37.5210901
48,2008,1108068,길음2동,71.676371,74.327858,127.0272226,37.6079289
49,2008,1106060,답십리1동,22.711275,22.774185,127.0546553,37.5717301
50,2008,1106063,답십리4동,46.284846,47.260892,127.0622753,37.5698142
33,2008,1103051,후암동,52.408361,54.394912,126.9805674,37.5502826
34,2008,1103052,용산2가동,82.321414,81.345015,126.9833537,37.5405637
45,2008,1105054,군자동,73.10075,72.142129,127.0735141,37.5533702
58,2008,1101068,창신2동,39.371185,40.275563,127.0104257,37.5759758
65,2008,1105060,구의1동,467.512156,447.570895,127.0859709,37.5409688
70,2008,1104058,응봉동,16.753378,16.982302,127.0345904,37.5505682
25,2008,1101060,가회동,60.036955,59.509327,126.9863189,37.583995
26,2008,1102058,장충동,95.49984,97.905138,127.0011254,37.5555108
28,2008,1102062,신당2동,60.587607,66.111292,127.0087901,37.5548782
29,2008,1102063,신당3동,72.364585,75.062462,127.0105912,37.5496752
31,2008,1102066,신당6동,39.233299,38.947865,127.0185893,37.560813
32,2008,1102068,중림동,72.366946,68.93094,126.9664592,37.5567614
39,2008,1103071,청파동,90.351475,94.693387,126.9666028,37.5483878
40,2008,1103072,원효로1동,69.139969,66.915302,126.9654422,37.5376452
41,2008,1103057,원효로2동,120.061503,115.747901,126.952627,37.5325935
43,2008,1105066,자양3동,181.929695,195.52611,127.0712358,37.5318573
44,2008,1104066,성수1가2동,209.515344,217.085866,127.0419006,37.5487201
89,2008,1106054,제기1동,130.311064,135.92709,127.040215,37.5847436
90,2008,1106056,전농1동,34.333901,33.884137,127.0499775,37.5758438
91,2008,1106058,전농3동,48.804256,49.533465,127.0611619,37.5807855
92,2008,1103073,한강로동,219.770705,218.534808,126.9691414,37.5299999
93,2008,1103074,한남동,172.283134,166.77973,127.0077715,37.5374867
96,2008,1106067,장안3동,49.217404,49.940936,127.0715842,37.5661067
97,2008,1106068,장안4동,47.667165,48.610848,127.0718733,37.5770828
98,2008,1104052,왕십리2동,31.93522,33.494341,127.0279769,37.5614323
84,2008,1105059,능동,40.659171,41.626176,127.081995,37.551142
83,2008,1105058,중곡4동,61.45236,62.840699,127.0951459,37.5629686
85,2008,1105061,구의2동,73.535892,73.802896,127.0946734,37.5518631
68,2008,1104056,행당1동,87.425754,88.531457,127.0351023,37.5597522
69,2008,1104057,행당2동,25.936362,36.094261,127.0293608,37.5566818
88,2008,1106051,신설동,67.411343,69.159297,127.0293241,37.5745106
62,2008,1102054,회현동,341.322182,334.045335,126.9769755,37.5572557
63,2008,1102055,명동,494.563072,493.660601,126.983206,37.5616872
64,2008,1102057,필동,181.624526,184.492938,126.9943278,37.5566962
66,2008,1106074,이문1동,28.214981,29.017711,127.0653671,37.5975065
19,2008,1106066,장안2동,75.393211,80.211938,127.0737285,37.5741291
20,2008,1101053,사직동,207.656174,230.036356,126.9693562,37.5738364
21,2008,1101054,삼청동,48.618586,49.341185,126.981541,37.5860477
24,2008,1101058,교남동,67.409378,66.713024,126.9643275,37.5712812
22,2008,1101055,부암동,43.325415,43.016889,126.9643198,37.5954681
23,2008,1101056,평창동,102.831677,100.095707,126.9685672,37.6136779
